Company,Category,Source_Type,Description,Best_For,Flagship_Report_or_Resource,Content_Format,Website_URL,Report_or_Research_URL,Blog_or_Insights_URL,Priority,Access_Model,Notes,Last_Verified,Authority_Score,Data_Origin,Access_Method,Decision_Types,Geography,Machine_Readable,Business_Stage,Geographic_Granularity,Industry_Codes,Methodology_Available,Citation_Required,Terms_or_Scraping_Restrictions,Historical_Data_Available,API_URL,API_Auth,API_Docs_URL,License,Contribution_Status,Submitted_By,Reviewed_By,Reviewed_At,Provenance_URL,Connector_Status,Publisher,Languages,Update_Frequency,Publication_Lag,Verification_Status,Verified_By,Content_Updated_At
OECD Tax Data and Statistics,Tax Incentives & Grants,International tax statistics,Corporate tax rates tax revenues incentives and cross-country policy indicators,Tax rates; country comparison; tax policy; investment incentives,OECD Tax Database,Datasets + reports + downloads,https://www.oecd.org/en/topics/tax-data-and-statistics.html,https://www.oecd.org/en/topics/tax-data-and-statistics.html,https://www.oecd.org/en/topics/taxation.html,High,Free reports + downloads,Coverage and definitions vary by tax instrument and country.,2026-07-20,9.8,secondary,bulk download; web,market_selection; unit_economics; geographic_expansion; regulatory_risk,Global,yes,idea; validation; launch; growth; scale,country,,yes,yes,Coverage and definitions vary by tax instrument and country.,yes,,none,,review_required: source terms,seeded,initial-seed,,,https://www.oecd.org/en/topics/tax-data-and-statistics.html,not_implemented,Organisation for Economic Co-operation and Development,multilingual,unknown,unknown,catalogued,,
Grants.gov,Tax Incentives & Grants,Official US grants portal,Federal grant opportunities agencies eligibility deadlines and award information,Grant discovery; public funding; agency programs; eligibility,Grants.gov Search,Live database + API + downloads,https://www.grants.gov/,https://www.grants.gov/web/grants/s2s/grantor/grantor-web-services.html,https://www.grants.gov/learn-grants,High,Free web + API,Eligibility and award rules must be confirmed in each official notice.,2026-07-20,10,primary,api; bulk download; web,fundraising; market_selection; sales_intelligence,United States,yes,idea; validation; launch; growth; scale,country,,yes,yes,Eligibility and award rules must be confirmed in each official notice.,yes,,none,https://www.grants.gov/web/grants/s2s/grantor/grantor-web-services.html,review_required: source terms,seeded,initial-seed,,,https://www.grants.gov/,not_implemented,U.S. General Services Administration,english,unknown,unknown,catalogued,,
WIPO Global Brand Database,Trademarks Designs & Copyright,Official international trademark search,Trademark appellation of origin and emblem records from international and national collections,Brand clearance; trademark owners; competing marks; geographic protection,Global Brand Database,Search database + web services,https://branddb.wipo.int/,https://www.wipo.int/reference/en/branddb/,https://www.wipo.int/pressroom/en/,High,Free web,Coverage differs by participating office; confirm legal status with the responsible registry.,2026-07-20,9.8,primary,web,competitor_analysis; regulatory_risk; geographic_expansion,Global,no,idea; validation; launch; growth; scale,country,,yes,yes,Coverage differs by participating office; confirm legal status with the responsible registry.,no,,none,,review_required: source terms,seeded,initial-seed,,,https://branddb.wipo.int/,not_implemented,World Intellectual Property Organization,multilingual,unknown,unknown,catalogued,,
ISO Online Browsing Platform,Standards & Certification,Official ISO standards catalogue,International standards metadata scopes classifications and selected preview content,Required standards; product requirements; terminology; certification planning,ISO OBP,Standards catalogue,https://www.iso.org/obp/ui/,https://www.iso.org/obp/ui/,https://www.iso.org/news.html,High,Free catalogue + paid standards,Standards text is copyrighted and usually requires purchase; certification is performed by independent bodies.,2026-07-20,9.8,primary,web,regulatory_risk; product_validation; technology_validation,Global,no,idea; validation; launch; growth; scale,country,,yes,yes,Standards text is copyrighted and usually requires purchase; certification is performed by independent bodies.,no,,none,,review_required: source terms,seeded,initial-seed,,,https://www.iso.org/obp/ui/,not_implemented,International Organization for Standardization,multilingual,unknown,unknown,catalogued,,
Copernicus Climate Data Store,Climate & Environmental Data,Official EU climate data service,Historical observations reanalysis projections and climate indicators with programmatic access,Climate risk; site selection; weather history; scenario analysis,Climate Data Store API,Datasets + API + toolbox,https://cds.climate.copernicus.eu/,https://cds.climate.copernicus.eu/how-to-api,https://climate.copernicus.eu/news,High,Free account + API,Dataset licenses methods spatial resolution and uncertainty differ by product.,2026-07-20,10,primary,api; bulk download; web,geographic_expansion; market_selection; regulatory_risk,Global,yes,idea; validation; launch; growth; scale,country,,yes,yes,Dataset licenses methods spatial resolution and uncertainty differ by product.,yes,,account_or_approval,https://cds.climate.copernicus.eu/how-to-api,review_required: source terms,seeded,initial-seed,,,https://cds.climate.copernicus.eu/,not_implemented,European Centre for Medium-Range Weather Forecasts,multilingual,unknown,unknown,catalogued,,
EIA Open Data,Energy & Commodity Intelligence,Official US energy statistics API,Electricity petroleum natural gas coal prices production consumption stocks and forecasts,Energy costs; fuel demand; regional prices; industry trends,EIA API,API + datasets + forecasts,https://www.eia.gov/opendata/,https://www.eia.gov/opendata/documentation.php,https://www.eia.gov/todayinenergy/,High,Free API with key,Series frequency units revisions and geographic coverage must be checked.,2026-07-20,10,primary,api; bulk download; web,unit_economics; market_sizing; geographic_expansion,United States,yes,idea; validation; launch; growth; scale,country,,yes,yes,Series frequency units revisions and geographic coverage must be checked.,yes,,api_key,https://www.eia.gov/opendata/documentation.php,review_required: source terms,seeded,initial-seed,,,https://www.eia.gov/opendata/,not_implemented,U.S. Energy Information Administration,english,unknown,unknown,catalogued,,
US Census Building Permits Survey,Real Estate & Foot Traffic,Official residential construction permits,Permitted housing units structures and values by state metro county and permit-issuing place,Construction momentum; local growth; housing supply; location analysis,Building Permits Survey,Monthly + annual datasets,https://www.census.gov/construction/bps/,https://www.census.gov/construction/bps/data_visualizations/,https://www.census.gov/construction/bps/,High,Free downloads,Covers residential permit-issuing places and is not a complete commercial-real-estate dataset.,2026-07-20,10,primary,bulk download; web,geographic_expansion; market_sizing,United States,yes,idea; validation; launch; growth; scale,country,,yes,yes,Covers residential permit-issuing places and is not a complete commercial-real-estate dataset.,yes,,none,,review_required: source terms,seeded,initial-seed,,,https://www.census.gov/construction/bps/,not_implemented,U.S. Census Bureau,english,unknown,unknown,catalogued,,
World Bank Logistics Performance Index,Logistics Freight & Ports,International logistics benchmark,Country scores for customs infrastructure shipments logistics competence tracking and timeliness,Country logistics comparison; expansion risk; supply-chain constraints,Logistics Performance Index,Index + downloads + reports,https://lpi.worldbank.org/,https://lpi.worldbank.org/international/global,https://www.worldbank.org/en/news,High,Free downloads,Survey-based index is periodic and should be combined with operational freight data.,2026-07-20,9.5,secondary,bulk download; web,geographic_expansion; market_selection; unit_economics,Global,yes,idea; validation; launch; growth; scale,country,,yes,yes,Survey-based index is periodic and should be combined with operational freight data.,yes,,none,,review_required: source terms,seeded,initial-seed,,,https://lpi.worldbank.org/,not_implemented,World Bank,multilingual,unknown,unknown,catalogued,,
UN World Population Prospects,Demographics Population & Migration,Official UN population estimates and projections,Population age fertility mortality migration and projections for countries and regions,Population sizing; age structure; long-term demand; country comparison,World Population Prospects,Datasets + downloads + API,https://population.un.org/wpp/,https://population.un.org/wpp/Download/Standard/MostUsed/,https://www.un.org/development/desa/pd/,High,Free downloads,Projection scenarios are estimates and should not be treated as exact forecasts.,2026-07-20,10,primary,bulk download; web,market_sizing; geographic_expansion; market_selection,Global,yes,idea; validation; launch; growth; scale,country,,yes,yes,Projection scenarios are estimates and should not be treated as exact forecasts.,yes,,none,,review_required: source terms,seeded,initial-seed,,,https://population.un.org/wpp/,not_implemented,United Nations Population Division,multilingual,unknown,unknown,catalogued,,
WHO Global Health Observatory,Sector Regulators & Industry Data,Official global health statistics,Health status services workforce financing risk factors diseases and country indicators,Healthcare market context; disease burden; system capacity; country comparison,Global Health Observatory,Data portal + API + downloads,https://www.who.int/data/gho,https://www.who.int/data/gho/info/gho-odata-api,https://www.who.int/data/gho,High,Free API + downloads,Country reporting quality definitions and estimate uncertainty vary by indicator.,2026-07-20,10,primary,api; bulk download; web,market_sizing; geographic_expansion; regulatory_risk,Global,yes,idea; validation; launch; growth; scale,country,,yes,yes,Country reporting quality definitions and estimate uncertainty vary by indicator.,yes,,none,https://www.who.int/data/gho/info/gho-odata-api,review_required: source terms,seeded,initial-seed,,,https://www.who.int/data/gho,not_implemented,World Health Organization,multilingual,unknown,unknown,catalogued,,
Apollo.io,B2B Sales & Prospect Intelligence,Commercial B2B company and contact intelligence,Company people contact firmographic technographic and sales-signal data,Prospect discovery; account lists; contacts; sales enrichment,Apollo Platform and API,Commercial platform + API,https://www.apollo.io/,https://docs.apollo.io/,https://www.apollo.io/magazine,Medium,Paid platform + trial,Personal-data use outreach and retention must comply with law and provider terms; data accuracy varies.,2026-07-20,7.5,secondary,api; web,sales_intelligence; market_sizing; channel_selection,Global,yes,idea; validation; launch; growth; scale,country,,yes,yes,Personal-data use outreach and retention must comply with law and provider terms; data accuracy varies.,yes,,none,https://docs.apollo.io/,review_required: source terms,seeded,initial-seed,,,https://www.apollo.io/,not_implemented,Apollo.io,multilingual,unknown,unknown,catalogued,,
CISA Known Exploited Vulnerabilities,Credit Fraud & Cyber Risk,Official exploited-vulnerability catalog,Vulnerabilities with evidence of active exploitation and remediation deadlines for US agencies,Cyber risk; product exposure; vulnerability prioritization; vendor monitoring,Known Exploited Vulnerabilities Catalog,Catalog + CSV + JSON,https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://www.cisa.gov/news-events,High,Free downloads,Presence indicates known exploitation and not the complete vulnerability universe.,2026-07-20,10,primary,bulk download; web,regulatory_risk; technology_validation; competitor_analysis,Global,yes,idea; validation; launch; growth; scale,country,,yes,yes,Presence indicates known exploitation and not the complete vulnerability universe.,yes,,none,,review_required: source terms,seeded,initial-seed,,,https://www.cisa.gov/known-exploited-vulnerabilities-catalog,not_implemented,U.S. Cybersecurity and Infrastructure Security Agency,multilingual,unknown,unknown,catalogued,,
World Bank International Comparison Program,Pricing & Willingness to Pay,Official purchasing-power and price-level statistics,Purchasing power parities price level indexes GDP and expenditure comparisons across economies,Purchasing power; price normalization; country affordability; market comparison,International Comparison Program,Datasets + reports + downloads,https://www.worldbank.org/en/programs/icp,https://www.worldbank.org/en/programs/icp/brief/data-and-results,https://www.worldbank.org/en/programs/icp,High,Free downloads,ICP rounds are periodic and unsuitable for real-time product-price monitoring.,2026-07-20,10,primary,bulk download; web,pricing; market_sizing; geographic_expansion,Global,yes,idea; validation; launch; growth; scale,country,,yes,yes,ICP rounds are periodic and unsuitable for real-time product-price monitoring.,yes,,none,,review_required: source terms,seeded,initial-seed,,,https://www.worldbank.org/en/programs/icp,not_implemented,World Bank,multilingual,unknown,unknown,catalogued,,
